,Safety and Security,Personal Freedom,Governance,Social Capital,Investment Environment,Enterprise Conditions,Infrastructure and Market Access,Economic Quality,Living Conditions,Health,Education,Natural Environment,unusualness,hhi,width_90
Cameroon,0.30900859662681895,0.05292582777678925,0.08332439124771299,0.02234525324665623,0.029185609173357385,0.029915011701681156,0.026243549813302836,0.1169380306675052,0.02532806135130987,0.07151268847992241,0.1994814043104022,0.03379157560454159,0.6602908022300663,0.16852993173865272,20.0
Canada,0.03469328423296831,0.08288916884711052,0.034163517136673455,0.21760506509028654,0.02573892819071616,0.04346674419355881,0.03541040798526989,0.3386956100397326,0.02929224408049876,0.0926963207029105,0.02069321962722486,0.044655489873049715,0.5054731869260348,0.1869867776176659,8.0
Central African Republic,0.038798530954879326,0.047088142707240294,0.0335099685204617,0.027040923399790136,0.023084994753410283,0.027806925498426026,0.04513641133263379,0.10851521511017839,0.19090766002098639,0.21269150052465902,0.07021511017838405,0.17520461699895068,0.8362344241278646,0.13800596690849798,8.0
Chad,0.12281103472681193,0.07358566172452734,0.0260151854993573,0.042329969764307314,0.039800787897396404,0.020941209531789108,0.18930353825257473,0.07157168357124644,0.03965507371576367,0.1280463371097592,0.11961052680880738,0.12632899139765918,0.6305588932384879,0.11418107004665341,8.0
Chile,0.35699988525823273,0.08417583538381122,0.05126407180284815,0.09422848910590666,0.04193174139755473,0.06669046495913919,0.08578222012570598,0.04231421395514872,0.023993778446396472,0.05169754070145467,0.044717416525364304,0.05620434233843722,0.4244490963815377,0.16980338615649065,8.0
China,0.007036752982927256,0.6814307047215439,0.0055568266169679975,0.024115058149305854,0.010015245721892899,0.03233725545137529,0.031786022339747796,0.06640998575242041,0.019230925335046608,0.04350863257810238,0.016355704248027538,0.062216886102642095,0.8619388501164621,0.47797765581807167,48.0
Colombia,0.6550118556702406,0.025177408638582092,0.006770671067980417,0.017123494854902964,0.033979680791042514,0.010787234093586907,0.015692072918035305,0.01695479441065846,0.014579396212315241,0.05977619074396898,0.013797457660319392,0.13034974293836735,0.7838052458307718,0.45278535546486826,45.0
Comoros,0.20869471651757024,0.10612216838877249,0.13139154320009802,0.09865529289747169,0.03907332076001805,0.03369509013034602,0.057025265190348236,0.1513502365716096,0.027329326211775678,0.024689527783340454,0.031518571543857656,0.0904549408047918,0.9459190319868939,0.12116484376300993,30.0
Congo,0.04332604984259941,0.06083031794366657,0.11482616102456478,0.13247560888206072,0.03922610001231271,0.050449046499789575,0.02864451725893269,0.07273322025239225,0.03780186822456184,0.024006115926954365,0.25324311360959134,0.1424378805225736,0.7244807972979116,0.132932630534206,16.0
Costa Rica,0.03105149391144472,0.17818444830318275,0.03601785571324852,0.13211516217283162,0.08268067591107481,0.0370116801983232,0.08356131482979376,0.1219947161664877,0.07500614238744248,0.021792362458832204,0.03708345641113415,0.16350069153620422,0.4372956434650522,0.11574524497581291,14.0
